logg_cms2 Teff Z_sun xi aLSM bLSM aPCM bPCM chi2 Mod 
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
3.5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
4 -5       A  
4.5 -5       A  
5 -5       A  
4.5 -5       A  
5 -5       A  
4.5 -5       A  
5 -5       A  
5 -5       A  
5 -5       A  
5 -5       A  
5 -5       A  
0 3500 -4.5 2 0.5144 0.1241 0.5205 0.1161 0.0178 A 
0.5 3500 -4.5 2 0.4335 0.1951 0.4449 0.1801 0.0327 A 
1 3500 -4.5 2 0.3013 0.3053 0.3233 0.2763 0.0666 A 
1.5 3500 -4.5 2 0.2009 0.3882 0.2332 0.3457 0.0993 A 
2 3500 -4.5 2 0.1568 0.418 0.1953 0.3673 0.1238 A 
2.5 3500 -4.5 2 0.1463 0.4282 0.1869 0.3748 0.1306 A 
3 3500 -4.5 2 0.1556 0.423 0.1953 0.3708 0.1265 A 
0 3750 -4.5 2 0.4637 0.1661 0.476 0.1499 0.0352 A 
0.5 3750 -4.5 2 0.4045 0.2198 0.4203 0.1991 0.0434 A 
1 3750 -4.5 2 0.3347 0.2739 0.357 0.2446 0.0664 A 
1.5 3750 -4.5 2 0.2191 0.3565 0.2538 0.3111 0.115 A 
2 3750 -4.5 2 0.1016 0.434 0.1498 0.371 0.1718 A 
2.5 3750 -4.5 2 0.0445 0.466 0.1006 0.3929 0.209 A 
3 3750 -4.5 2 0.0286 0.4778 0.0875 0.4012 0.2208 A 
3.5 3750 -4.5 2 0.0306 0.515 0.0898 0.4372 0.1974 A 
0 4000 -4.5 2 0.4303 0.1888 0.4472 0.1666 0.052 A 
0.5 4000 -4.5 2 0.3687 0.2417 0.3909 0.2125 0.0661 A 
1 4000 -4.5 2 0.3053 0.2952 0.3337 0.2577 0.0843 A 
1.5 4000 -4.5 2 0.2466 0.3411 0.2816 0.2949 0.1071 A 
2 4000 -4.5 2 0.1865 0.3616 0.2277 0.308 0.1456 A 
2.5 4000 -4.5 2 0.0878 0.4115 0.1388 0.3455 0.2006 A 
3 4000 -4.5 2 0.017 0.4452 0.0767 0.3683 0.2481 A 
3.5 4000 -4.5 2     A  
4 4000 -4.5 2     A  
0 4250 -4.5 2 0.4034 0.2048 0.4242 0.1775 0.0658 A 
0.5 4250 -4.5 2 0.3528 0.2456 0.3795 0.2106 0.0829 A 
1 4250 -4.5 2 0.2971 0.2914 0.33 0.2483 0.1012 A 
1.5 4250 -4.5 2 0.249 0.3291 0.2874 0.2786 0.1197 A 
2 4250 -4.5 2 0.209 0.3574 0.2519 0.301 0.1383 A 
2.5 4250 -4.5 2 0.182 0.354 0.2249 0.2982 0.1528 A 
3 4250 -4.5 2 0.1108 0.3819 0.1598 0.3186 0.1967 A 
3.5 4250 -4.5 2 0.0445 0.4053 0.0989 0.3355 0.2334 A 
4 4250 -4.5 2 0.0047 0.4123 0.063 0.3379 0.2651 A 
4.5 4250 -4.5 2     A  
0 4500 -4.5 2 0.3785 0.2186 0.4014 0.1886 0.0747 A 
0.5 4500 -4.5 2 0.3414 0.2463 0.3689 0.2103 0.0898 A 
1 4500 -4.5 2 0.2994 0.2799 0.3323 0.2368 0.1047 A 
1.5 4500 -4.5 2 0.2559 0.3149 0.2937 0.2652 0.1204 A 
2 4500 -4.5 2 0.2192 0.3438 0.261 0.289 0.133 A 
2.5 4500 -4.5 2 0.1901 0.3624 0.2354 0.303 0.1492 A 
3 4500 -4.5 2 0.158 0.3771 0.2066 0.3134 0.1713 A 
3.5 4500 -4.5 2 0.1275 0.3702 0.1749 0.3089 0.1855 A 
4 4500 -4.5 2 0.0701 0.3881 0.1207 0.3232 0.2136 A 
4.5 4500 -4.5 2 0.0278 0.3942 0.0813 0.3261 0.2405 A 
5 4500 -4.5 2     A  
0 4750 -4.5 2 0.3574 0.2278 0.382 0.1957 0.0822 A 
0.5 4750 -4.5 2 0.3307 0.2464 0.3588 0.2096 0.0936 A 
1 4750 -4.5 2 0.3012 0.2689 0.3329 0.2274 0.1041 A 
1.5 4750 -4.5 2 0.2691 0.2954 0.3045 0.2489 0.114 A 
2 4750 -4.5 2 0.2348 0.324 0.274 0.2725 0.1243 A 
2.5 4750 -4.5 2 0.2082 0.3444 0.2496 0.29 0.1327 A 
3 4750 -4.5 2 0.1866 0.3581 0.2303 0.3008 0.1445 A 
3.5 4750 -4.5 2 0.1604 0.37 0.2069 0.3091 0.1634 A 
4 4750 -4.5 2 0.1092 0.395 0.1619 0.3262 0.1989 A 
4.5 4750 -4.5 2 0.0861 0.382 0.1345 0.3198 0.1981 A 
5 4750 -4.5 2 0.0478 0.3845 0.0979 0.3205 0.2186 A 
0 5000 -4.5 2 0.3365 0.2368 0.3625 0.203 0.0887 A 
0.5 5000 -4.5 2 0.3213 0.2457 0.3491 0.2094 0.094 A 
1 5000 -4.5 2 0.2996 0.2616 0.33 0.2218 0.1017 A 
1.5 5000 -4.5 2 0.275 0.2818 0.3079 0.2386 0.1074 A 
2 5000 -4.5 2 0.2486 0.3044 0.2843 0.2575 0.1133 A 
2.5 5000 -4.5 2 0.2242 0.3254 0.262 0.2758 0.1187 A 
3 5000 -4.5 2 0.2034 0.3415 0.2428 0.2896 0.1256 A 
3.5 5000 -4.5 2 0.1845 0.3529 0.2263 0.298 0.1375 A 
4 5000 -4.5 2 0.1573 0.3675 0.2026 0.3082 0.1569 A 
4.5 5000 -4.5 2 0.1198 0.3824 0.1691 0.3181 0.1845 A 
5 5000 -4.5 2 0.0646 0.4062 0.1207 0.3333 0.2255 A 
0 5250 -4.5 2 0.3158 0.2463 0.343 0.2108 0.095 A 
0.5 5250 -4.5 2 0.3081 0.2486 0.3362 0.212 0.0966 A 
1 5250 -4.5 2 0.2951 0.2576 0.3244 0.2192 0.0984 A 
1.5 5250 -4.5 2 0.2752 0.2734 0.3067 0.2322 0.1034 A 
2 5250 -4.5 2 0.256 0.2908 0.2888 0.2478 0.1035 A 
2.5 5250 -4.5 2 0.2363 0.308 0.2704 0.2631 0.106 A 
3 5250 -4.5 2 0.2199 0.3222 0.2548 0.2764 0.1073 A 
3.5 5250 -4.5 2 0.2033 0.3342 0.2398 0.2861 0.1146 A 
4 5250 -4.5 2 0.1822 0.3472 0.2218 0.2952 0.1292 A 
4.5 5250 -4.5 2 0.1538 0.3637 0.1975 0.3065 0.1498 A 
5 5250 -4.5 2 0.1155 0.3836 0.1639 0.3203 0.1768 A 
0 5500 -4.5 2 0.2895 0.2624 0.3186 0.2245 0.1006 A 
0.5 5500 -4.5 2 0.2886 0.2585 0.3177 0.2205 0.1005 A 
1 5500 -4.5 2 0.2829 0.261 0.3124 0.2224 0.0994 A 
1.5 5500 -4.5 2 0.2717 0.2698 0.3021 0.23 0.0988 A 
2 5500 -4.5 2 0.2574 0.2823 0.2885 0.2415 0.0978 A 
2.5 5500 -4.5 2 0.2422 0.2963 0.2739 0.2547 0.0974 A 
3 5500 -4.5 2 0.2273 0.309 0.2596 0.2665 0.0981 A 
3.5 5500 -4.5 2 0.2167 0.318 0.2492 0.2752 0.0983 A 
4 5500 -4.5 2 0.2004 0.329 0.2352 0.2831 0.1084 A 
4.5 5500 -4.5 2 0.178 0.3434 0.2163 0.2931 0.1239 A 
5 5500 -4.5 2 0.1495 0.3599 0.192 0.3042 0.1451 A 
0 5750 -4.5 2 0.4049 0.1601 0.4188 0.1424 0.0595 A 
0.5 5750 -4.5 2 0.2708 0.272 0.2989 0.2353 0.0929 A 
1 5750 -4.5 2 0.2632 0.2718 0.2938 0.2318 0.1027 A 
1.5 5750 -4.5 2 0.2599 0.2735 0.2904 0.2336 0.0991 A 
